age_group,period,prev,med_prev,lower_q,upper_q,dt_end,urb_rural,dt_start
a,post_wave1,0.039026923,0.039026923,0.039026923,0.039026923,11/21/2020,urban,NA
all,post_wave1,0.036353846,0.036353846,0.036353846,0.036353846,11/21/2020,urban,NA
c,post_wave1,0.026446154,0.026446154,0.026446154,0.026446154,11/21/2020,urban,NA
e,post_wave1,0.028961538,0.028961538,0.028961538,0.028961538,11/21/2020,urban,NA
a,post_wave2,0.297,NA,NA,NA,6/18/2021,rural,5/3/2021
a,post_wave3,0.57223796,NA,NA,NA,11/24/2021,rural,10/5/2021
a,post_wave4,0.862204724,NA,NA,NA,2/18/2022,rural,1/10/2022
a,post_wave4_r2,0.9525,NA,NA,NA,6/9/2022,rural,5/15/2022
all,post_wave2,0.276,NA,NA,NA,6/18/2021,rural,5/3/2021
all,post_wave2,0.21,NA,NA,NA,7/1/2021,urban,3/15/2021
all,post_wave3,0.542227662,NA,NA,NA,11/24/2021,rural,10/5/2021
all,post_wave4,0.786423841,NA,NA,NA,2/18/2022,rural,1/10/2022
all,post_wave4_r2,0.9127,NA,NA,NA,6/9/2022,rural,5/15/2022
all,wave2,0.09,NA,NA,NA,3/1/2021,urban,12/15/2020
c,post_wave2,0.256,NA,NA,NA,6/18/2021,rural,5/3/2021
c,post_wave3,0.4522,NA,NA,NA,11/24/2021,rural,10/5/2021
c,post_wave4,0.635658915,NA,NA,NA,2/18/2022,rural,1/10/2022
c,post_wave4_r2,0.8736,NA,NA,NA,6/9/2022,rural,5/15/2022
e,post_wave2,0.25,NA,NA,NA,6/18/2021,rural,5/3/2021
e,post_wave3,0.553745928,NA,NA,NA,11/24/2021,rural,10/5/2021
e,post_wave4,0.787330317,NA,NA,NA,2/18/2022,rural,1/10/2022
e,post_wave4_r2,0.89,NA,NA,NA,6/9/2022,rural,5/15/2022
